2024-02-12 22:30:53.753 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.11
2024-02-12 22:30:53.754 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 2
2024-02-12 22:30:53.754 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.10
2024-02-12 22:30:53.754 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 3
2024-02-12 22:30:53.754 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.9
2024-02-12 22:30:53.754 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 4
2024-02-12 22:30:53.755 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.8
2024-02-12 22:30:53.755 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 5
2024-02-12 22:30:53.755 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.7
2024-02-12 22:30:53.755 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 6
2024-02-12 22:30:53.756 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.6
2024-02-12 22:30:53.756 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 7
2024-02-12 22:30:53.756 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.5
2024-02-12 22:30:53.756 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 8
2024-02-12 22:30:53.756 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.4
2024-02-12 22:30:53.757 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 9
2024-02-12 22:30:53.757 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.3
2024-02-12 22:30:53.757 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 10
2024-02-12 22:30:53.757 [AWT-EventQueue-0] WARN  ModifiedQueue@659410853 - take too long net.home.main.simple.TestScreen$$Lambda$245/0x0000000800e03da8@6caa162f
2024-02-12 22:30:53.758 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.2
2024-02-12 22:30:53.758 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 11
2024-02-12 22:30:53.758 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.1
2024-02-12 22:30:53.758 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 12
2024-02-12 22:30:53.759 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 13
2024-02-12 22:30:53.759 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 14
2024-02-12 22:31:17.438 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 1
2024-02-12 22:31:17.439 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 2.1
2024-02-12 22:31:17.439 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 2.2
2024-02-12 22:31:17.439 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 2.3
2024-02-12 22:31:17.439 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 1
2024-02-12 22:31:17.440 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 0
2024-02-12 22:31:17.440 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.12
2024-02-12 22:31:17.440 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 1
2024-02-12 22:31:17.440 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.11
2024-02-12 22:31:17.441 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 2
2024-02-12 22:31:17.441 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.10
2024-02-12 22:31:17.441 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 3
2024-02-12 22:31:17.441 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.9
2024-02-12 22:31:17.441 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 4
2024-02-12 22:31:17.442 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.8
2024-02-12 22:31:17.442 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 5
2024-02-12 22:31:17.442 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.7
2024-02-12 22:31:17.442 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 6
2024-02-12 22:31:17.442 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.6
2024-02-12 22:31:17.443 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 7
2024-02-12 22:31:17.443 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.5
2024-02-12 22:31:17.443 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 8
2024-02-12 22:31:17.443 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.4
2024-02-12 22:31:17.443 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 9
2024-02-12 22:31:17.444 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.3
2024-02-12 22:31:17.444 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 10
2024-02-12 22:31:17.444 [AWT-EventQueue-0] WARN  ModifiedQueue@823560241 - take too long net.home.main.simple.TestScreen$$Lambda$248/0x0000000800e06468@61c04d6b
2024-02-12 22:31:17.444 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.2
2024-02-12 22:31:17.444 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 11
2024-02-12 22:31:17.445 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.1
2024-02-12 22:31:17.445 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 12
2024-02-12 22:31:17.445 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 13
2024-02-12 22:31:17.445 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 14
